Frequent 0-itemsets:
itemset (occurrence)
{} (115)
Frequent 1-itemsets:
itemset (occurrence)
7 (1)
9 (1)
11 (1)
14 (1)
20 (1)
23 (1)
34 (1)
37 (1)
41 (1)
44 (1)
61 (1)
62 (1)
67 (1)
75 (1)
77 (1)
80 (1)
81 (1)
83 (1)
91 (1)
94 (1)
138 (1)
144 (1)
152 (1)
153 (1)
156 (1)
164 (1)
178 (1)
179 (1)
182 (1)
188 (1)
190 (1)
199 (1)
213 (1)
214 (1)
218 (1)
219 (1)
223 (1)
237 (1)
244 (1)
246 (1)
252 (1)
255 (1)
267 (1)
268 (1)
281 (1)
282 (1)
289 (1)
293 (1)
303 (1)
315 (1)
325 (1)
330 (1)
331 (1)
337 (1)
340 (1)
344 (1)
352 (1)
360 (1)
369 (1)
370 (1)
376 (1)
384 (1)
388 (1)
406 (1)
410 (1)
428 (1)
435 (1)
444 (1)
456 (1)
463 (1)
471 (1)
473 (1)
476 (1)
481 (1)
483 (1)
485 (1)
491 (1)
493 (1)
497 (1)
500 (1)
503 (1)
524 (1)
535 (1)
536 (1)
539 (1)
543 (1)
552 (1)
565 (1)
570 (1)
592 (1)
603 (1)
604 (1)
610 (1)
613 (1)
616 (1)
621 (1)
626 (1)
627 (1)
633 (1)
637 (1)
644 (1)
645 (1)
652 (1)
660 (1)
666 (1)
672 (1)
679 (1)
680 (1)
681 (1)
698 (1)
699 (1)
704 (1)
708 (1)
714 (1)
715 (1)
717 (1)
721 (1)
724 (1)
731 (1)
734 (1)
750 (1)
756 (1)
759 (1)
760 (1)
762 (1)
772 (1)
774 (1)
781 (1)
802 (1)
806 (1)
811 (1)
821 (1)
823 (1)
842 (1)
847 (1)
850 (1)
851 (1)
861 (1)
863 (1)
882 (1)
891 (1)
905 (1)
915 (1)
920 (1)
925 (1)
926 (1)
931 (1)
936 (1)
977 (1)
979 (1)
985 (1)
994 (1)
6 (2)
15 (2)
16 (2)
18 (2)
40 (2)
49 (2)
89 (2)
107 (2)
121 (2)
123 (2)
126 (2)
128 (2)
135 (2)
137 (2)
139 (2)
163 (2)
174 (2)
189 (2)
202 (2)
209 (2)
216 (2)
225 (2)
231 (2)
245 (2)
253 (2)
262 (2)
270 (2)
278 (2)
285 (2)
288 (2)
311 (2)
323 (2)
327 (2)
332 (2)
367 (2)
372 (2)
382 (2)
383 (2)
399 (2)
400 (2)
407 (2)
417 (2)
429 (2)
432 (2)
436 (2)
457 (2)
459 (2)
466 (2)
475 (2)
490 (2)
501 (2)
514 (2)
515 (2)
518 (2)
520 (2)
544 (2)
545 (2)
556 (2)
575 (2)
580 (2)
582 (2)
590 (2)
591 (2)
600 (2)
605 (2)
608 (2)
632 (2)
635 (2)
642 (2)
648 (2)
649 (2)
650 (2)
673 (2)
683 (2)
695 (2)
696 (2)
697 (2)
716 (2)
723 (2)
741 (2)
751 (2)
757 (2)
767 (2)
768 (2)
771 (2)
783 (2)
810 (2)
813 (2)
818 (2)
833 (2)
845 (2)
849 (2)
859 (2)
889 (2)
902 (2)
903 (2)
908 (2)
916 (2)
930 (2)
939 (2)
942 (2)
953 (2)
958 (2)
963 (2)
990 (2)
999 (2)
24 (3)
36 (3)
53 (3)
64 (3)
86 (3)
95 (3)
105 (3)
124 (3)
136 (3)
160 (3)
165 (3)
169 (3)
206 (3)
224 (3)
240 (3)
256 (3)
257 (3)
264 (3)
273 (3)
275 (3)
287 (3)
299 (3)
304 (3)
306 (3)
309 (3)
320 (3)
328 (3)
335 (3)
342 (3)
347 (3)
355 (3)
357 (3)
358 (3)
359 (3)
361 (3)
374 (3)
375 (3)
379 (3)
402 (3)
403 (3)
412 (3)
415 (3)
418 (3)
421 (3)
437 (3)
448 (3)
453 (3)
458 (3)
461 (3)
462 (3)
486 (3)
492 (3)
504 (3)
512 (3)
533 (3)
546 (3)
553 (3)
557 (3)
558 (3)
563 (3)
588 (3)
595 (3)
623 (3)
625 (3)
647 (3)
655 (3)
656 (3)
659 (3)
688 (3)
712 (3)
713 (3)
740 (3)
742 (3)
764 (3)
794 (3)
801 (3)
803 (3)
832 (3)
834 (3)
838 (3)
840 (3)
846 (3)
852 (3)
855 (3)
857 (3)
860 (3)
892 (3)
894 (3)
896 (3)
898 (3)
906 (3)
938 (3)
997 (3)
4 (4)
27 (4)
57 (4)
59 (4)
66 (4)
74 (4)
78 (4)
93 (4)
98 (4)
117 (4)
131 (4)
142 (4)
143 (4)
157 (4)
166 (4)
170 (4)
185 (4)
194 (4)
203 (4)
208 (4)
212 (4)
230 (4)
241 (4)
243 (4)
263 (4)
277 (4)
307 (4)
310 (4)
318 (4)
329 (4)
336 (4)
343 (4)
351 (4)
356 (4)
364 (4)
371 (4)
392 (4)
394 (4)
397 (4)
405 (4)
447 (4)
469 (4)
482 (4)
511 (4)
521 (4)
525 (4)
527 (4)
530 (4)
537 (4)
550 (4)
568 (4)
571 (4)
578 (4)
618 (4)
630 (4)
640 (4)
657 (4)
662 (4)
671 (4)
686 (4)
689 (4)
691 (4)
709 (4)
718 (4)
743 (4)
765 (4)
777 (4)
778 (4)
787 (4)
798 (4)
814 (4)
825 (4)
835 (4)
837 (4)
839 (4)
869 (4)
879 (4)
881 (4)
884 (4)
909 (4)
922 (4)
932 (4)
935 (4)
946 (4)
948 (4)
978 (4)
995 (4)
998 (4)
3 (5)
5 (5)
19 (5)
22 (5)
26 (5)
35 (5)
58 (5)
88 (5)
96 (5)
102 (5)
111 (5)
114 (5)
125 (5)
127 (5)
147 (5)
158 (5)
162 (5)
176 (5)
186 (5)
193 (5)
215 (5)
222 (5)
272 (5)
300 (5)
322 (5)
333 (5)
348 (5)
422 (5)
430 (5)
464 (5)
496 (5)
498 (5)
507 (5)
516 (5)
576 (5)
583 (5)
594 (5)
601 (5)
602 (5)
611 (5)
629 (5)
685 (5)
707 (5)
719 (5)
732 (5)
735 (5)
745 (5)
753 (5)
779 (5)
788 (5)
807 (5)
815 (5)
841 (5)
853 (5)
858 (5)
868 (5)
871 (5)
872 (5)
874 (5)
933 (5)
962 (5)
980 (5)
981 (5)
988 (5)
1 (6)
2 (6)
10 (6)
33 (6)
90 (6)
108
